Started_Date,year,month,Amount,category,avg_salary,year_month,monthly_expenses
2019-09-11,2019,9,-7.2,food_drink,1087.65,2019-9,-7.2
2019-10-04,2019,10,-712.61,tech,1087.65,2019-10,-1067.63
2019-10-04,2019,10,-15.1,tech,1087.65,2019-10,-1067.63
2019-10-08,2019,10,-147.2,tech,1087.65,2019-10,-1067.63
2019-10-20,2019,10,-17.55,tech,1087.65,2019-10,-1067.63
2019-10-21,2019,10,-5.28,other,1087.65,2019-10,-1067.63
2019-10-30,2019,10,-51.0,other,1087.65,2019-10,-1067.63
2019-10-30,2019,10,-118.89,travel,1087.65,2019-10,-1067.63
2019-11-05,2019,11,-21.6,other,1087.65,2019-11,-1437.8600000000001
2019-11-08,2019,11,-4.5,other,1087.65,2019-11,-1437.8600000000001
2019-11-14,2019,11,-44.86,food_drink,1087.65,2019-11,-1437.8600000000001
2019-11-14,2019,11,-76.69,food_drink,1087.65,2019-11,-1437.8600000000001
2019-11-15,2019,11,-6.22,travel,1087.65,2019-11,-1437.8600000000001
2019-11-17,2019,11,-4.05,travel,1087.65,2019-11,-1437.8600000000001
2019-11-18,2019,11,-15.0,tech,1087.65,2019-11,-1437.8600000000001
2019-11-18,2019,11,-5.0,tech,1087.65,2019-11,-1437.8600000000001
2019-11-18,2019,11,-200.0,other,1087.65,2019-11,-1437.8600000000001
2019-11-19,2019,11,-9.91,food_drink,1087.65,2019-11,-1437.8600000000001
2019-11-21,2019,11,-14.35,food_drink,1087.65,2019-11,-1437.8600000000001
2019-11-23,2019,11,-385.0,rent_ai,1087.65,2019-11,-1437.8600000000001
2019-11-24,2019,11,-462.08,travel,1087.65,2019-11,-1437.8600000000001
2019-11-25,2019,11,-27.02,food_drink,1087.65,2019-11,-1437.8600000000001
2019-11-28,2019,11,-41.75,travel,1087.65,2019-11,-1437.8600000000001
2019-11-28,2019,11,-99.17,travel,1087.65,2019-11,-1437.8600000000001
2019-11-30,2019,11,-10.14,food_drink,1087.65,2019-11,-1437.8600000000001
2019-11-30,2019,11,-10.52,food_drink,1087.65,2019-11,-1437.8600000000001
2019-12-02,2019,12,-12.6,entairtainment,1087.65,2019-12,-1277.48
2019-12-04,2019,12,-385.0,rent_ai,1087.65,2019-12,-1277.48
2019-12-12,2019,12,-27.94,food_drink,1087.65,2019-12,-1277.48
2019-12-12,2019,12,-2.03,food_drink,1087.65,2019-12,-1277.48
2019-12-13,2019,12,-19.99,food_drink,1087.65,2019-12,-1277.48
2019-12-13,2019,12,-2.03,food_drink,1087.65,2019-12,-1277.48
2019-12-18,2019,12,-4.4,food_drink,1087.65,2019-12,-1277.48
2019-12-19,2019,12,-39.46,food_drink,1087.65,2019-12,-1277.48
2019-12-21,2019,12,-6.28,travel,1087.65,2019-12,-1277.48
2019-12-21,2019,12,-4.65,travel,1087.65,2019-12,-1277.48
2019-12-21,2019,12,-10.99,travel,1087.65,2019-12,-1277.48
2019-12-22,2019,12,-28.78,entairtainment,1087.65,2019-12,-1277.48
2019-12-23,2019,12,-8.09,food_drink,1087.65,2019-12,-1277.48
2019-12-24,2019,12,-30.87,food_drink,1087.65,2019-12,-1277.48
2019-12-25,2019,12,-9.37,food_drink,1087.65,2019-12,-1277.48
2019-12-30,2019,12,-385.0,rent_ai,1087.65,2019-12,-1277.48
2019-12-30,2019,12,-300.0,other,1087.65,2019-12,-1277.48
2020-01-04,2020,1,-20.48,food_drink,1503.93,2020-1,-299.09
2020-01-05,2020,1,-24.21,entairtainment,1503.93,2020-1,-299.09
2020-01-05,2020,1,-6.31,travel,1503.93,2020-1,-299.09
2020-01-06,2020,1,-4.06,travel,1503.93,2020-1,-299.09
2020-01-06,2020,1,-7.99,travel,1503.93,2020-1,-299.09
2020-01-10,2020,1,-5.0,travel,1503.93,2020-1,-299.09
2020-01-10,2020,1,-8.99,travel,1503.93,2020-1,-299.09
2020-01-10,2020,1,-4.85,travel,1503.93,2020-1,-299.09
2020-01-10,2020,1,-4.07,travel,1503.93,2020-1,-299.09
2020-01-11,2020,1,-6.33,travel,1503.93,2020-1,-299.09
2020-01-11,2020,1,-7.16,entairtainment,1503.93,2020-1,-299.09
2020-01-13,2020,1,-24.87,food_drink,1503.93,2020-1,-299.09
2020-01-13,2020,1,-7.99,travel,1503.93,2020-1,-299.09
2020-01-13,2020,1,-6.3,travel,1503.93,2020-1,-299.09
2020-01-13,2020,1,-12.64,other,1503.93,2020-1,-299.09
2020-01-17,2020,1,-92.85,tech,1503.93,2020-1,-299.09
2020-01-18,2020,1,-10.0,other,1503.93,2020-1,-299.09
2020-01-22,2020,1,-6.95,food_drink,1503.93,2020-1,-299.09
2020-01-25,2020,1,-10.0,food_drink,1503.93,2020-1,-299.09
2020-01-31,2020,1,-25.12,food_drink,1503.93,2020-1,-299.09
2020-01-31,2020,1,-2.92,entairtainment,1503.93,2020-1,-299.09
2020-02-01,2020,2,-385.0,rent_ai,1503.93,2020-2,-605.01
2020-02-03,2020,2,-8.74,food_drink,1503.93,2020-2,-605.01
2020-02-08,2020,2,-13.29,food_drink,1503.93,2020-2,-605.01
2020-02-14,2020,2,-2.58,food_drink,1503.93,2020-2,-605.01
2020-02-15,2020,2,-17.76,food_drink,1503.93,2020-2,-605.01
2020-02-17,2020,2,-15.98,food_drink,1503.93,2020-2,-605.01
2020-02-20,2020,2,-38.3,other,1503.93,2020-2,-605.01
2020-02-21,2020,2,-21.2,entairtainment,1503.93,2020-2,-605.01
2020-02-21,2020,2,-8.34,food_drink,1503.93,2020-2,-605.01
2020-02-21,2020,2,-3.05,food_drink,1503.93,2020-2,-605.01
2020-02-21,2020,2,-7.99,travel,1503.93,2020-2,-605.01
2020-02-22,2020,2,-7.99,travel,1503.93,2020-2,-605.01
2020-02-23,2020,2,-4.17,travel,1503.93,2020-2,-605.01
2020-02-23,2020,2,-34.21,entairtainment,1503.93,2020-2,-605.01
2020-02-23,2020,2,-4.85,travel,1503.93,2020-2,-605.01
2020-02-24,2020,2,-2.12,food_drink,1503.93,2020-2,-605.01
2020-02-25,2020,2,-8.2,food_drink,1503.93,2020-2,-605.01
2020-02-26,2020,2,-10.92,food_drink,1503.93,2020-2,-605.01
2020-02-29,2020,2,-10.32,food_drink,1503.93,2020-2,-605.01
2020-03-01,2020,3,-385.0,rent_ai,1503.93,2020-3,-1497.2199999999998
2020-03-03,2020,3,-3.03,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-03,2020,3,-1.38,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-04,2020,3,-2.45,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-07,2020,3,-23.74,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-07,2020,3,-3.77,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-08,2020,3,-211.82,other,1503.93,2020-3,-1497.2199999999998
2020-03-09,2020,3,-243.76,travel,1503.93,2020-3,-1497.2199999999998
2020-03-10,2020,3,-9.45,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-11,2020,3,-12.24,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-12,2020,3,-231.71,entairtainment,1503.93,2020-3,-1497.2199999999998
2020-03-12,2020,3,-15.0,tech,1503.93,2020-3,-1497.2199999999998
2020-03-13,2020,3,-10.96,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-14,2020,3,-14.36,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-17,2020,3,-114.24,education,1503.93,2020-3,-1497.2199999999998
2020-03-18,2020,3,-17.13,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-19,2020,3,-14.53,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-20,2020,3,-34.3,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-20,2020,3,-12.3,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-21,2020,3,-15.7,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-24,2020,3,-8.35,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-27,2020,3,-22.78,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-27,2020,3,-19.48,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-27,2020,3,-11.96,food_drink,1503.93,2020-3,-1497.2199999999998
2020-03-31,2020,3,-57.78,food_drink,1503.93,2020-3,-1497.2199999999998
2020-04-01,2020,4,-2.93,food_drink,1503.93,2020-4,-1042.46
2020-04-02,2020,4,-385.0,rent_ai,1503.93,2020-4,-1042.46
2020-04-03,2020,4,-21.36,food_drink,1503.93,2020-4,-1042.46
2020-04-03,2020,4,-9.98,food_drink,1503.93,2020-4,-1042.46
2020-04-04,2020,4,-13.64,food_drink,1503.93,2020-4,-1042.46
2020-04-09,2020,4,-65.98,food_drink,1503.93,2020-4,-1042.46
2020-04-09,2020,4,-5.14,food_drink,1503.93,2020-4,-1042.46
2020-04-11,2020,4,-2.87,other,1503.93,2020-4,-1042.46
2020-04-15,2020,4,-17.84,food_drink,1503.93,2020-4,-1042.46
2020-04-18,2020,4,-15.35,food_drink,1503.93,2020-4,-1042.46
2020-04-20,2020,4,-20.0,other,1503.93,2020-4,-1042.46
2020-04-25,2020,4,-5.72,food_drink,1503.93,2020-4,-1042.46
2020-04-25,2020,4,-15.34,food_drink,1503.93,2020-4,-1042.46
2020-04-28,2020,4,-10.33,food_drink,1503.93,2020-4,-1042.46
2020-04-30,2020,4,-385.0,rent_ai,1503.93,2020-4,-1042.46
2020-04-30,2020,4,-65.98,food_drink,1503.93,2020-4,-1042.46
2020-05-02,2020,5,-40.53,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-05,2020,5,-5.76,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-06,2020,5,-16.76,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-07,2020,5,-20.65,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-09,2020,5,-22.69,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-13,2020,5,-5.28,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-16,2020,5,-29.45,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-19,2020,5,-1.18,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-19,2020,5,-3.96,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-20,2020,5,-27.55,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-20,2020,5,-0.98,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-25,2020,5,-16.46,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-26,2020,5,-5.18,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-27,2020,5,-3.99,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-27,2020,5,-34.94,tech,1503.93,2020-5,-341.65999999999997
2020-05-30,2020,5,-11.04,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-30,2020,5,-43.98,other,1503.93,2020-5,-341.65999999999997
2020-05-30,2020,5,-6.17,food_drink,1503.93,2020-5,-341.65999999999997
2020-05-30,2020,5,-22.36,entairtainment,1503.93,2020-5,-341.65999999999997
2020-05-30,2020,5,-22.75,food_drink,1503.93,2020-5,-341.65999999999997
2020-06-01,2020,6,-385.0,rent_ai,1503.93,2020-6,-1333.82
2020-06-03,2020,6,-4.16,food_drink,1503.93,2020-6,-1333.82
2020-06-04,2020,6,-3.15,food_drink,1503.93,2020-6,-1333.82
2020-06-05,2020,6,-7.38,entairtainment,1503.93,2020-6,-1333.82
2020-06-06,2020,6,-14.76,entairtainment,1503.93,2020-6,-1333.82
2020-06-06,2020,6,-23.07,food_drink,1503.93,2020-6,-1333.82
2020-06-06,2020,6,-17.5,other,1503.93,2020-6,-1333.82
2020-06-06,2020,6,-15.0,tech,1503.93,2020-6,-1333.82
2020-06-06,2020,6,-37.35,other,1503.93,2020-6,-1333.82
2020-06-08,2020,6,-250.0,education,1503.93,2020-6,-1333.82
2020-06-08,2020,6,-5.83,food_drink,1503.93,2020-6,-1333.82
2020-06-13,2020,6,-19.38,food_drink,1503.93,2020-6,-1333.82
2020-06-13,2020,6,-7.46,food_drink,1503.93,2020-6,-1333.82
2020-06-17,2020,6,-10.63,food_drink,1503.93,2020-6,-1333.82
2020-06-18,2020,6,-4.05,food_drink,1503.93,2020-6,-1333.82
2020-06-20,2020,6,-15.56,food_drink,1503.93,2020-6,-1333.82
2020-06-20,2020,6,-17.76,food_drink,1503.93,2020-6,-1333.82
2020-06-22,2020,6,-14.76,food_drink,1503.93,2020-6,-1333.82
2020-06-22,2020,6,-34.94,tech,1503.93,2020-6,-1333.82
2020-06-24,2020,6,-3.99,food_drink,1503.93,2020-6,-1333.82
2020-06-24,2020,6,-16.78,food_drink,1503.93,2020-6,-1333.82
2020-06-24,2020,6,-4.17,food_drink,1503.93,2020-6,-1333.82
2020-06-27,2020,6,-6.94,food_drink,1503.93,2020-6,-1333.82
2020-06-29,2020,6,-2.81,food_drink,1503.93,2020-6,-1333.82
2020-06-30,2020,6,-385.0,rent_ai,1503.93,2020-6,-1333.82
2020-06-30,2020,6,-26.39,food_drink,1503.93,2020-6,-1333.82
2020-07-01,2020,7,-5.12,food_drink,1503.93,2020-7,-1113.74
2020-07-01,2020,7,-2.91,other,1503.93,2020-7,-1113.74
2020-07-02,2020,7,-14.87,food_drink,1503.93,2020-7,-1113.74
2020-07-03,2020,7,-4.08,food_drink,1503.93,2020-7,-1113.74
2020-07-04,2020,7,-4.02,food_drink,1503.93,2020-7,-1113.74
2020-07-04,2020,7,-5.47,food_drink,1503.93,2020-7,-1113.74
2020-07-07,2020,7,-6.33,food_drink,1503.93,2020-7,-1113.74
2020-07-07,2020,7,-12.06,entairtainment,1503.93,2020-7,-1113.74
2020-07-08,2020,7,-4.71,food_drink,1503.93,2020-7,-1113.74
2020-07-08,2020,7,-3.46,food_drink,1503.93,2020-7,-1113.74
2020-07-09,2020,7,-2.61,food_drink,1503.93,2020-7,-1113.74
2020-07-10,2020,7,-15.98,travel,1503.93,2020-7,-1113.74
2020-07-10,2020,7,-4.14,travel,1503.93,2020-7,-1113.74
2020-07-10,2020,7,-19.48,travel,1503.93,2020-7,-1113.74
2020-07-10,2020,7,-18.06,entairtainment,1503.93,2020-7,-1113.74
2020-07-10,2020,7,-8.74,food_drink,1503.93,2020-7,-1113.74
2020-07-10,2020,7,-15.0,tech,1503.93,2020-7,-1113.74
2020-07-10,2020,7,-4.85,travel,1503.93,2020-7,-1113.74
2020-07-11,2020,7,-309.23,travel,1503.93,2020-7,-1113.74
2020-07-12,2020,7,-4.17,travel,1503.93,2020-7,-1113.74
2020-07-13,2020,7,-8.46,food_drink,1503.93,2020-7,-1113.74
2020-07-14,2020,7,-20.14,food_drink,1503.93,2020-7,-1113.74
2020-07-15,2020,7,-50.0,other,1503.93,2020-7,-1113.74
2020-07-16,2020,7,-19.46,food_drink,1503.93,2020-7,-1113.74
2020-07-18,2020,7,-9.31,entairtainment,1503.93,2020-7,-1113.74
2020-07-20,2020,7,-2.09,food_drink,1503.93,2020-7,-1113.74
2020-07-21,2020,7,-10.72,entairtainment,1503.93,2020-7,-1113.74
2020-07-21,2020,7,-11.45,food_drink,1503.93,2020-7,-1113.74
2020-07-24,2020,7,-14.48,travel,1503.93,2020-7,-1113.74
2020-07-24,2020,7,-14.48,travel,1503.93,2020-7,-1113.74
2020-07-25,2020,7,-34.06,tech,1503.93,2020-7,-1113.74
2020-07-25,2020,7,-9.72,food_drink,1503.93,2020-7,-1113.74
2020-07-25,2020,7,-4.13,travel,1503.93,2020-7,-1113.74
2020-07-25,2020,7,-9.42,food_drink,1503.93,2020-7,-1113.74
2020-07-27,2020,7,-27.37,food_drink,1503.93,2020-7,-1113.74
2020-07-28,2020,7,-8.65,food_drink,1503.93,2020-7,-1113.74
2020-07-28,2020,7,-385.0,rent_ai,1503.93,2020-7,-1113.74
2020-07-28,2020,7,-3.94,food_drink,1503.93,2020-7,-1113.74
2020-07-29,2020,7,-5.57,food_drink,1503.93,2020-7,-1113.74
2020-08-01,2020,8,-3.23,entairtainment,1503.93,2020-8,-590.55
2020-08-01,2020,8,-5.62,food_drink,1503.93,2020-8,-590.55
2020-08-03,2020,8,-3.66,food_drink,1503.93,2020-8,-590.55
2020-08-04,2020,8,-8.9,food_drink,1503.93,2020-8,-590.55
2020-08-05,2020,8,-2.85,food_drink,1503.93,2020-8,-590.55
2020-08-07,2020,8,-4.85,travel,1503.93,2020-8,-590.55
2020-08-07,2020,8,-3.93,food_drink,1503.93,2020-8,-590.55
2020-08-07,2020,8,-4.09,travel,1503.93,2020-8,-590.55
2020-08-07,2020,8,-12.99,travel,1503.93,2020-8,-590.55
2020-08-07,2020,8,-12.99,travel,1503.93,2020-8,-590.55
2020-08-08,2020,8,-8.23,travel,1503.93,2020-8,-590.55
2020-08-09,2020,8,-4.85,travel,1503.93,2020-8,-590.55
2020-08-10,2020,8,-3.54,food_drink,1503.93,2020-8,-590.55
2020-08-10,2020,8,-1.81,food_drink,1503.93,2020-8,-590.55
2020-08-10,2020,8,-6.35,food_drink,1503.93,2020-8,-590.55
2020-08-11,2020,8,-15.0,tech,1503.93,2020-8,-590.55
2020-08-14,2020,8,-3.24,food_drink,1503.93,2020-8,-590.55
2020-08-15,2020,8,-11.21,other,1503.93,2020-8,-590.55
2020-08-15,2020,8,-40.5,tech,1503.93,2020-8,-590.55
2020-08-21,2020,8,-300.0,other,1503.93,2020-8,-590.55
2020-08-26,2020,8,-45.14,food_drink,1503.93,2020-8,-590.55
2020-08-28,2020,8,-13.02,food_drink,1503.93,2020-8,-590.55
2020-08-28,2020,8,-31.91,food_drink,1503.93,2020-8,-590.55
2020-08-29,2020,8,-20.41,food_drink,1503.93,2020-8,-590.55
2020-08-29,2020,8,-4.85,travel,1503.93,2020-8,-590.55
2020-08-29,2020,8,-6.39,travel,1503.93,2020-8,-590.55
2020-08-29,2020,8,-10.99,travel,1503.93,2020-8,-590.55
2020-09-26,2020,9,-11.94,food_drink,1503.93,2020-9,-1497.65
2020-09-26,2020,9,-87.54,food_drink,1503.93,2020-9,-1497.65
2020-09-28,2020,9,-962.29,other,1503.93,2020-9,-1497.65
2020-09-28,2020,9,-3.65,food_drink,1503.93,2020-9,-1497.65
2020-09-29,2020,9,-47.23,food_drink,1503.93,2020-9,-1497.65
2020-09-30,2020,9,-385.0,rent_ai,1503.93,2020-9,-1497.65
2020-10-03,2020,10,-205.89,entairtainment,1503.93,2020-10,-796.33
2020-10-05,2020,10,-13.87,food_drink,1503.93,2020-10,-796.33
2020-10-07,2020,10,-7.34,food_drink,1503.93,2020-10,-796.33
2020-10-08,2020,10,-8.48,food_drink,1503.93,2020-10,-796.33
2020-10-09,2020,10,-13.07,food_drink,1503.93,2020-10,-796.33
2020-10-09,2020,10,-17.04,food_drink,1503.93,2020-10,-796.33
2020-10-13,2020,10,-2.21,food_drink,1503.93,2020-10,-796.33
2020-10-16,2020,10,-45.71,food_drink,1503.93,2020-10,-796.33
2020-10-21,2020,10,-23.28,food_drink,1503.93,2020-10,-796.33
2020-10-21,2020,10,-2.82,food_drink,1503.93,2020-10,-796.33
2020-10-24,2020,10,-4.76,food_drink,1503.93,2020-10,-796.33
2020-10-24,2020,10,-28.17,food_drink,1503.93,2020-10,-796.33
2020-10-28,2020,10,-3.75,food_drink,1503.93,2020-10,-796.33
2020-10-28,2020,10,-16.19,food_drink,1503.93,2020-10,-796.33
2020-10-28,2020,10,-15.0,rent_ai,1503.93,2020-10,-796.33
2020-10-30,2020,10,-385.0,rent_ai,1503.93,2020-10,-796.33
2020-10-31,2020,10,-3.75,food_drink,1503.93,2020-10,-796.33
